valueCategory,temporal,temporal_type,georegion,georegion_type,subtype,testResult,testResult_type,value,prct,lowerCi,upperCi,prctMean3w,dataComplete,defaultView
detections_hospitalisations,2022-W14,iso_week,CHFL,CHFL,BA.1,positive,pcr,1,2,0.1,26.6,NA,TRUE,FALSE
detections_hospitalisations,2022-W14,iso_week,CHFL,CHFL,BA.2,positive,pcr,49,98,73.4,99.9,NA,TRUE,FALSE
detections_hospitalisations,2022-W14,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,23.7,NA,TRUE,TRUE
detections_hospitalisations,2022-W14,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,23.7,NA,TRUE,TRUE
detections_hospitalisations,2022-W14,iso_week,CHFL,CHFL,BA.4,positive,pcr,0,0,0,23.7,NA,TRUE,FALSE
detections_hospitalisations,2022-W14,iso_week,CHFL,CHFL,BA.5,positive,pcr,0,0,0,23.7,NA,TRUE,TRUE
detections_hospitalisations,2022-W14,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,23.7,NA,TRUE,TRUE
detections_hospitalisations,2022-W14,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,23.7,NA,TRUE,TRUE
detections_hospitalisations,2022-W14,iso_week,CHFL,CHFL,other,positive,pcr,0,0,0,23.7,NA,TRUE,FALSE
samples_hospitalisations,2022-W14,iso_week,CHFL,CHFL,all,positive,pcr,50,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W15,iso_week,CHFL,CHFL,BA.1,positive,pcr,3,1.9,0.3,11.9,1.5,TRUE,FALSE
detections_hospitalisations,2022-W15,iso_week,CHFL,CHFL,BA.2,positive,pcr,158,98.1,88.1,99.7,98.5,TRUE,FALSE
detections_hospitalisations,2022-W15,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,8.8,0,TRUE,TRUE
detections_hospitalisations,2022-W15,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,8.8,0,TRUE,TRUE
detections_hospitalisations,2022-W15,iso_week,CHFL,CHFL,BA.4,positive,pcr,0,0,0,8.8,0,TRUE,FALSE
detections_hospitalisations,2022-W15,iso_week,CHFL,CHFL,BA.5,positive,pcr,0,0,0,8.8,0,TRUE,TRUE
detections_hospitalisations,2022-W15,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,8.8,0,TRUE,TRUE
detections_hospitalisations,2022-W15,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,8.8,0,TRUE,TRUE
detections_hospitalisations,2022-W15,iso_week,CHFL,CHFL,other,positive,pcr,0,0,0,8.8,0,TRUE,FALSE
samples_hospitalisations,2022-W15,iso_week,CHFL,CHFL,all,positive,pcr,161,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W16,iso_week,CHFL,CHFL,BA.1,positive,pcr,1,0.6,0,9.6,1.8,TRUE,FALSE
detections_hospitalisations,2022-W16,iso_week,CHFL,CHFL,BA.2,positive,pcr,165,99.4,90.4,100,97.8,TRUE,FALSE
detections_hospitalisations,2022-W16,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,8.5,0,TRUE,TRUE
detections_hospitalisations,2022-W16,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,8.5,0,TRUE,TRUE
detections_hospitalisations,2022-W16,iso_week,CHFL,CHFL,BA.4,positive,pcr,0,0,0,8.5,0.2,TRUE,FALSE
detections_hospitalisations,2022-W16,iso_week,CHFL,CHFL,BA.5,positive,pcr,0,0,0,8.5,0,TRUE,TRUE
detections_hospitalisations,2022-W16,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,8.5,0,TRUE,TRUE
detections_hospitalisations,2022-W16,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,8.5,0,TRUE,TRUE
detections_hospitalisations,2022-W16,iso_week,CHFL,CHFL,other,positive,pcr,0,0,0,8.5,0.2,TRUE,FALSE
samples_hospitalisations,2022-W16,iso_week,CHFL,CHFL,all,positive,pcr,166,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W17,iso_week,CHFL,CHFL,BA.1,positive,pcr,5,2.8,0.6,12.7,1.4,TRUE,FALSE
detections_hospitalisations,2022-W17,iso_week,CHFL,CHFL,BA.2,positive,pcr,169,96,85.6,99,97,TRUE,FALSE
detections_hospitalisations,2022-W17,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,8.1,0,TRUE,TRUE
detections_hospitalisations,2022-W17,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,8.1,0,TRUE,TRUE
detections_hospitalisations,2022-W17,iso_week,CHFL,CHFL,BA.4,positive,pcr,1,0.6,0,9.1,0.7,TRUE,FALSE
detections_hospitalisations,2022-W17,iso_week,CHFL,CHFL,BA.5,positive,pcr,0,0,0,8.1,0.2,TRUE,TRUE
detections_hospitalisations,2022-W17,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,8.1,0,TRUE,TRUE
