valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,popExtrapolation,totalConsultationsExtrapolation,incValue,prctConsultations,prct,trend,dataComplete
consultations,2020-W10,week,CH,country,all,agegroup_ili_ari,all,NA,177694.4,12328,NA,NA,NA,NA,TRUE
consultations,2020-W10,week,region_1,sentinella_region,all,agegroup_ili_ari,all,NA,36557,2641,NA,NA,NA,NA,TRUE
consultations,2020-W10,week,region_2,sentinella_region,all,agegroup_ili_ari,all,NA,31532.1,2127,NA,NA,NA,NA,TRUE
consultations,2020-W10,week,region_3,sentinella_region,all,agegroup_ili_ari,all,NA,19109.9,1277,NA,NA,NA,NA,TRUE
consultations,2020-W10,week,region_4,sentinella_region,all,agegroup_ili_ari,all,NA,23226.3,1425,NA,NA,NA,NA,TRUE
consultations,2020-W10,week,region_5,sentinella_region,all,agegroup_ili_ari,all,NA,53351.5,3605,NA,NA,NA,NA,TRUE
consultations,2020-W10,week,region_6,sentinella_region,all,agegroup_ili_ari,all,NA,13917.5,1253,NA,NA,NA,NA,TRUE
consultations,2020-W11,week,CH,country,all,agegroup_ili_ari,all,NA,182580.2,13124,NA,NA,NA,NA,TRUE
consultations,2020-W11,week,region_1,sentinella_region,all,agegroup_ili_ari,all,NA,29060.6,2195,NA,NA,NA,NA,TRUE
consultations,2020-W11,week,region_2,sentinella_region,all,agegroup_ili_ari,all,NA,34375.2,2419,NA,NA,NA,NA,TRUE
consultations,2020-W11,week,region_3,sentinella_region,all,agegroup_ili_ari,all,NA,27708.9,1933,NA,NA,NA,NA,TRUE
consultations,2020-W11,week,region_4,sentinella_region,all,agegroup_ili_ari,all,NA,23234.5,1487,NA,NA,NA,NA,TRUE
consultations,2020-W11,week,region_5,sentinella_region,all,agegroup_ili_ari,all,NA,55097,3862,NA,NA,NA,NA,TRUE
consultations,2020-W11,week,region_6,sentinella_region,all,agegroup_ili_ari,all,NA,13104,1228,NA,NA,NA,NA,TRUE
consultations,2020-W12,week,CH,country,all,agegroup_ili_ari,all,NA,150861.3,10322,NA,NA,NA,NA,TRUE
consultations,2020-W12,week,region_1,sentinella_region,all,agegroup_ili_ari,all,NA,23228.3,1677,NA,NA,NA,NA,TRUE
consultations,2020-W12,week,region_2,sentinella_region,all,agegroup_ili_ari,all,NA,25994.3,1750,NA,NA,NA,NA,TRUE
consultations,2020-W12,week,region_3,sentinella_region,all,agegroup_ili_ari,all,NA,22484.8,1502,NA,NA,NA,NA,TRUE
consultations,2020-W12,week,region_4,sentinella_region,all,agegroup_ili_ari,all,NA,20516.1,1258,NA,NA,NA,NA,TRUE
consultations,2020-W12,week,region_5,sentinella_region,all,agegroup_ili_ari,all,NA,49431.6,3307,NA,NA,NA,NA,TRUE
consultations,2020-W12,week,region_6,sentinella_region,all,agegroup_ili_ari,all,NA,9206.3,828,NA,NA,NA,NA,TRUE
consultations,2020-W13,week,CH,country,all,agegroup_ili_ari,all,25398.8,128353,8313,292.94,4.52,100,NA,TRUE
consultations,2020-W13,week,region_1,sentinella_region,all,agegroup_ili_ari,all,6914.9,19215.7,1300,374.69,5.54,28.3,NA,TRUE
consultations,2020-W13,week,region_2,sentinella_region,all,agegroup_ili_ari,all,1622.1,21340.5,1346,112.46,1.78,6.6,NA,TRUE
consultations,2020-W13,week,region_3,sentinella_region,all,agegroup_ili_ari,all,819.2,19594.3,1236,56.14,0.89,3.3,NA,TRUE
consultations,2020-W13,week,region_4,sentinella_region,all,agegroup_ili_ari,all,3855.8,17560.9,1012,466.95,8.1,15.8,NA,TRUE
consultations,2020-W13,week,region_5,sentinella_region,all,agegroup_ili_ari,all,7277.9,40935.9,2596,285.81,4.51,29.7,NA,TRUE
consultations,2020-W13,week,region_6,sentinella_region,all,agegroup_ili_ari,all,3974.5,9705.7,823,721.22,8.51,16.2,NA,TRUE
consultations,2020-W14,week,CH,country,all,agegroup_ili_ari,all,22825.4,123829.7,7717,263.26,4.22,100,NA,TRUE
consultations,2020-W14,week,region_1,sentinella_region,all,agegroup_ili_ari,all,6104.4,19953.2,1299,330.77,5.08,27.5,NA,TRUE
consultations,2020-W14,week,region_2,sentinella_region,all,agegroup_ili_ari,all,1395.3,20673.5,1249,96.74,1.6,6.3,NA,TRUE
consultations,2020-W14,week,region_3,sentinella_region,all,agegroup_ili_ari,all,369.6,19736.9,1193,25.33,0.42,1.7,NA,TRUE
consultations,2020-W14,week,region_4,sentinella_region,all,agegroup_ili_ari,all,4299.2,15173.8,842,520.64,9.38,19.3,NA,TRUE
consultations,2020-W14,week,region_5,sentinella_region,all,agegroup_ili_ari,all,7006.7,39977,2452,275.16,4.49,31.5,NA,TRUE
consultations,2020-W14,week,region_6,sentinella_region,all,agegroup_ili_ari,all,3048.6,8315.3,682,553.2,6.74,13.7,NA,TRUE
consultations,2020-W15,week,CH,country,all,agegroup_ili_ari,all,11954.6,111691.5,6823,137.88,2.26,100,falling,TRUE
consultations,2020-W15,week,region_1,sentinella_region,all,agegroup_ili_ari,all,2237.9,18967.3,1208,121.26,1.9,20,falling,TRUE
consultations,2020-W15,week,region_2,sentinella_region,all,agegroup_ili_ari,all,656.8,17568.1,1025,45.54,0.78,5.9,falling,TRUE
consultations,2020-W15,week,region_3,sentinella_region,all,agegroup_ili_ari,all,85.2,17131.6,1022,5.84,0.1,0.8,falling,TRUE
consultations,2020-W15,week,region_4,sentinella_region,all,agegroup_ili_ari,all,1749.5,14631.9,791,211.87,3.92,15.6,falling,TRUE
consultations,2020-W15,week,region_5,sentinella_region,all,agegroup_ili_ari,all,5192.1,35310.8,2127,203.9,3.39,46.3,falling,TRUE
consultations,2020-W15,week,region_6,sentinella_region,all,agegroup_ili_ari,all,1295.6,8081.7,650,235.1,2.92,11.6,falling,TRUE
consultations,2020-W16,week,CH,country,all,agegroup_ili_ari,all,7221.5,109260.1,6302,83.29,1.44,100,falling,TRUE
consultations,2020-W16,week,region_1,sentinella_region,all,agegroup_ili_ari,all,2353.2,18037.1,1085,127.51,2.12,32.8,stagnant,TRUE
consultations,2020-W16,week,region_2,sentinella_region,all,agegroup_ili_ari,all,540.6,16009,881,37.48,0.68,7.5,falling,TRUE
consultations,2020-W16,week,region_3,sentinella_region,all,agegroup_ili_ari,all,253.8,17252.5,984,17.39,0.3,3.5,stagnant,TRUE
consultations,2020-W16,week,region_4,sentinella_region,all,agegroup_ili_ari,all,748.1,16557,852,90.6,1.76,10.4,falling,TRUE
consultations,2020-W16,week,region_5,sentinella_region,all,agegroup_ili_ari,all,2549.7,33956.2,1934,100.13,1.76,35.5,falling,TRUE
consultations,2020-W16,week,region_6,sentinella_region,all,agegroup_ili_ari,all,739.9,7448.3,566,134.26,1.77,10.3,falling,TRUE
consultations,2020-W17,week,CH,country,all,agegroup_ili_ari,all,7979.3,143424.2,8666,92.03,1.52,100,stagnant,TRUE
consultations,2020-W17,week,region_1,sentinella_region,all,agegroup_ili_ari,all,1845.9,22996.5,1457,100.02,1.58,23.7,falling,TRUE
consultations,2020-W17,week,region_2,sentinella_region,all,agegroup_ili_ari,all,689.1,29302.8,1718,47.78,0.81,8.8,stagnant,TRUE
consultations,2020-W17,week,region_3,sentinella_region,all,agegroup_ili_ari,all,131.9,22130.4,1308,9.04,0.15,1.7,stagnant,TRUE
consultations,2020-W17,week,region_4,sentinella_region,all,agegroup_ili_ari,all,1623,18316.1,985,196.55,3.65,20.8,stagnant,TRUE
consultations,2020-W17,week,region_5,sentinella_region,all,agegroup_ili_ari,all,2478.2,42127.5,2520,97.32,1.63,31.8,stagnant,TRUE
consultations,2020-W17,week,region_6,sentinella_region,all,agegroup_ili_ari,all,1031.1,8551,678,187.11,2.36,13.2,stagnant,TRUE
consultations,2020-W18,week,CH,country,all,agegroup_ili_ari,all,5522.1,144457.1,8736,63.69,1.05,100,falling,TRUE
consultations,2020-W18,week,region_1,sentinella_region,all,agegroup_ili_ari,all,881.6,27213,1721,47.77,0.76,16.2,falling,TRUE
consultations,2020-W18,week,region_2,sentinella_region,all,agegroup_ili_ari,all,684.8,27380.9,1603,47.48,0.81,12.6,stagnant,TRUE
consultations,2020-W18,week,region_3,sentinella_region,all,agegroup_ili_ari,all,72.7,20065,1187,4.98,0.08,1.3,falling,TRUE
consultations,2020-W18,week,region_4,sentinella_region,all,agegroup_ili_ari,all,493.6,20072.8,1082,59.78,1.11,9.1,falling,TRUE
consultations,2020-W18,week,region_5,sentinella_region,all,agegroup_ili_ari,all,2409.1,41223.3,2470,94.61,1.58,44.2,stagnant,TRUE
consultations,2020-W18,week,region_6,sentinella_region,all,agegroup_ili_ari,all,907.4,8502.1,673,164.66,2.08,16.7,stagnant,TRUE
consultations,2020-W19,week,CH,country,all,agegroup_ili_ari,all,5075.6,160564.6,10429,58.54,0.9,100,stagnant,TRUE
consultations,2020-W19,week,region_1,sentinella_region,all,agegroup_ili_ari,all,854.3,30244,2043,46.29,0.69,17.2,stagnant,TRUE
consultations,2020-W19,week,region_2,sentinella_region,all,agegroup_ili_ari,all,842.2,29115.5,1843,58.39,0.92,16.9,rising,TRUE
consultations,2020-W19,week,region_3,sentinella_region,all,agegroup_ili_ari,all,433.1,23582.6,1491,29.68,0.47,8.7,rising,TRUE
consultations,2020-W19,week,region_4,sentinella_region,all,agegroup_ili_ari,all,416.8,19815.4,1144,50.47,0.87,8.4,falling,TRUE
consultations,2020-W19,week,region_5,sentinella_region,all,agegroup_ili_ari,all,1696.2,46540,2956,66.61,1.05,34.1,falling,TRUE
consultations,2020-W19,week,region_6,sentinella_region,all,agegroup_ili_ari,all,733.7,11267,952,133.13,1.58,14.7,falling,TRUE
