valueCategory,temporal,temporal_type,georegion,georegion_type,pathogen,type,subtype,testResult,testResult_type,value,prctPathogenType,prctPathogenSubtype,prctTypeSubtype,prctPathogen,lowerCiPathogen,upperCiPathogen,prctPathogenMean3w,prctSamples,dataComplete,defaultView
detections,2020-W40,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W40,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W40,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W40,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W40,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W40,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W40,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W40,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W41,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W41,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W41,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W41,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W41,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W41,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W41,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W41,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W42,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W42,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W42,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W42,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W42,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W42,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W42,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W42,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W43,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W43,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W43,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W43,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W43,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W43,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W43,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W43,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W44,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W44,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W44,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W44,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W44,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W44,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W44,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W44,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W45,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W45,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W45,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W45,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W45,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W45,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W45,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W45,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W46,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W46,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W46,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W46,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W46,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W46,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W46,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W46,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W47,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W47,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W47,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W47,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W47,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W47,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W47,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W47,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W48,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W48,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W48,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W48,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W48,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W48,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W48,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W48,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W49,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W49,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W49,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W49,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W49,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W49,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W49,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W49,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
